Date,Open,High,Low,Close,Volume,Adj Close
2025-03-28,179.64999389648438,192.64999389648438,178.85000610351562,191.5,17357760,182.05108642578125
2025-03-31,200.3000030517578,206.0,190.60000610351562,191.6999969482422,20047460,182.2412109375
2025-04-01,193.85000610351562,197.39999389648438,186.10000610351562,187.1999969482422,21250840,177.96322631835938
2025-04-02,195.10000610351562,195.4499969482422,179.14999389648438,183.0,25597740,173.97047424316406
2025-04-03,206.0,213.1999969482422,201.8000030517578,212.64999389648438,26980160,202.15750122070312
2025-04-04,230.8000030517578,251.9499969482422,227.5,251.8000030517578,45621840,239.3757781982422
2025-04-07,278.29998779296875,289.0,216.10000610351562,250.85000610351562,45279700,238.47265625
2025-04-08,225.5,275.79998779296875,216.8000030517578,264.8500061035156,42987740,251.7818603515625
2025-04-09,265.79998779296875,266.1499938964844,165.85000610351562,171.39999389648438,54654860,162.94284057617188
2025-04-10,183.0,205.89999389648438,180.8000030517578,191.0500030517578,47232500,181.62327575683594
2025-04-11,193.25,197.60000610351562,179.10000610351562,181.10000610351562,29853540,172.16421508789062
2025-04-14,168.89999389648438,183.0,168.3000030517578,177.25,22798880,168.5041961669922
2025-04-15,176.10000610351562,178.85000610351562,171.60000610351562,176.6999969482422,17659220,167.9813232421875
2025-04-16,187.1999969482422,200.1999969482422,183.0,192.6999969482422,21602400,183.19186401367188
2025-04-17,189.39999389648438,196.8000030517578,188.5,193.1999969482422,20267260,183.66717529296875
2025-04-21,201.0500030517578,214.39999389648438,199.85000610351562,207.4499969482422,14677340,197.2140655517578
2025-04-22,199.5,201.3000030517578,187.0,191.39999389648438,21852880,181.95599365234375
2025-04-23,173.85000610351562,180.64999389648438,167.14999389648438,178.8000030517578,27405040,169.9777069091797
2025-04-24,176.25,177.0,163.14999389648438,163.60000610351562,24455900,155.5277099609375
2025-04-25,164.10000610351562,165.8000030517578,157.6999969482422,158.25,21898940,150.44168090820312
2025-04-28,157.9499969482422,164.89999389648438,156.0500030517578,158.4499969482422,20488100,150.63182067871094
2025-04-29,160.8000030517578,161.39999389648438,154.5,155.39999389648438,18400320,147.7322998046875
2025-04-30,163.6999969482422,168.3000030517578,153.85000610351562,155.3000030517578,27368860,147.63723754882812
2025-05-01,147.9499969482422,150.4499969482422,144.14999389648438,150.0500030517578,27094140,142.64630126953125
2025-05-02,145.1999969482422,146.8000030517578,141.14999389648438,143.0500030517578,21943440,135.99168395996094
2025-05-05,146.75,147.25,142.9499969482422,145.6999969482422,15240580,138.5109100341797
2025-05-06,151.5,152.6999969482422,146.5,149.64999389648438,19211460,142.26602172851562
2025-05-07,149.1999969482422,154.14999389648438,145.75,148.0,23742840,140.69744873046875
2025-05-08,143.35000610351562,147.35000610351562,139.5500030517578,143.60000610351562,22583860,136.51454162597656
2025-05-09,142.10000610351562,145.64999389648438,140.89999389648438,144.0,15255340,136.89479064941406
2025-05-12,127.25,132.14999389648438,126.5,126.5999984741211,27343220,120.35334014892578
2025-05-13,125.5999984741211,126.1500015258789,119.44999694824219,120.80000305175781,23985740,114.83953094482422
2025-05-14,120.0,120.69999694824219,118.30000305175781,118.69999694824219,19373120,112.84314727783203
2025-05-15,120.19999694824219,121.1500015258789,116.5,118.25,22766680,112.41535186767578
2025-05-16,117.5,120.0,116.8499984741211,116.9000015258789,16879200,111.13196563720703
